peringkat_peluang,judul_posisi,penyelenggara,lokasi,lokasi_detail,tingkat_pendidikan,program_studi,hari_kerja_per_minggu,hari_libur,kuota,jumlah_pelamar,deskripsi,kualifikasi,skill_yang_didapat,url,status_scraping,jumlah_percobaan,error,rasio_pelamar_per_kuota,estimasi_peluang_sederhana_persen,kategori_persaingan,kota_filter,city_id_filter,tanggal_scraping
1,Credit Restructuring & Recovery Team,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Credit Restructuring & Recovery Team PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,7,1. Melakukan administrasi operasional Credit Restructuring & Recovery2. Melakukan menyajikan laporan pelaksanaan pekerjaan Team3. Melakukan Pengelolahan data Credit Restructuring & Recovery,,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/credit-restructuring-&-recovery-team-a2390c32-a143-4de6-bdef-4e9c6d49506a,Berhasil,1,,7.0,14.29,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
2,Secured Loan & Card Business Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Secured Loan & Card Business Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,7,"Melakukan penyaluran pinjaman beragunan (seperti KPR atau kredit multiguna) dan penerbitan produk kartu kredit, Tugasnya :1. Akuisisi dan Sales: Memasarkan produk pinjaman dengan agunan (seperti properti/deposito) serta penawaran kartu kredit kepada nasabah baru2. Memverifikasi dokumen, melakukan investigasi latar belakang, dan menganalisis risiko calon peminjam3. Melakukan menilai risiko dan kemampuan bayar nasabah sebelum pinjaman dicairkan.",,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/secured-loan-&-card-business-department-a23702dc-a389-43f7-a645-d1972e626d50,Berhasil,1,,7.0,14.29,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
3,Small Business Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Small Business Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Manajemen Pemasaran/Marketing, Hukum",5,Minggu Sabtu,1,7,1. Melakukan proses pengolahan data analisa di Small Business Department2. Melakukan proses Administrasi di Small Business Department3. Melakukan Penyusun materi komunikasi dan mengkomunikasikan materi4. Merekap Data Pencairan Setiap BRI Cabang Setiap hari5. Melakukan Pengecekan Nasabah yang Sudah Jatuh tempo,,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/small-business-department-a23935f5-e7f5-4a0b-8222-088b7b836a8b,Berhasil,1,,7.0,14.29,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
4,Unsecured Loan Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Unsecured Loan Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Gedung Menara BRI, Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,7,"1. melakukan proses pengolahan dan analisa data Nasabah Pinjaman (seperti Kredit Tanpa Agunan atau KTA)2. Melakukan Verifikasi Data Awal Seperti Mengumpulkan dan memeriksa kelengkapan dokumen persyaratan seperti KTP, slip gaji, dan mutasi rekening.3. Melakukan Analisis Kelayakan: Memastikan profil peminjam sesuai dengan kriteria risiko",,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/unsecured-loan-department-a236ff30-b246-4c08-9020-c259970740b8,Berhasil,1,,7.0,14.29,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
5,Data Riset Pasar,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Data Riset Pasar PT. Surveyor Indonesia (Persero) Kota Pekanbaru 5 hari/minggu Sarjana,Kota Pekanbaru,"Jl. Bukit Raya Indah No.1, Simpang Tiga, Bukit Raya, Kota Pekanbaru, Riau 28284, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknik Informatika, Desain Komunikasi Visual, Teknik Multimedia",5,Sabtu Minggu,1,8,"'- Membuat infografis, video pendek, atau artikel ringkas terkait Jasa-jasa Pemasaran. - Membuat konten edukasi dan lainnya yang menarik untuk kebutuhan media sosial. - Memastikan konten yang dibuat relevan dengan kebutuhan pasar saat ini. - Membantu tim menilai efektivitas pemasaran digital yang dijalankan. - membantu tim tender dalam melengkapi kelengkapan dokumen tender. - Membuat dan menjalankan strategi Digital Marketing.",,"Digital Marketing dan Content Development (6 materi) Onboarding dan Dasar Digital Marketing Teori Bulan ke-1 15–20 hari Memahami profil perusahaan, identitas merek, dasar-dasar digital marketing, serta melakukan observasi media digital perusahaan. Pembuatan Konten dan Copywriting Praktik Bulan ke-2 15–20 hari Mempelajari teknik pembuatan konten digital, copywriting, serta menyusun konten media sosial, artikel, dan infografis dan 5+ konten medsos, infografis, artikel Produksi Video dan Multimedia Praktik Bulan ke-3 15–20 hari Membantu membuat konten video pendek, reels, dan materi multimedia untuk mendukung promosi digital perusahaan (2–3 video pendek, reels, short-form content) Strategi Digital Marketing dan SEO Praktik Bulan ke-4 15–20 hari Mempelajari penyusunan strategi pemasaran digital, perencanaan kalender konten, serta dasar-dasar Search Engine Optimization (SEO) dan riset kata kunci. Analitik Digital Marketing dan Dukungan Tender Praktik Bulan ke-5 15–20 hari Membantu menganalisis performa media digital, menyusun laporan analitik, serta mendukung penyusunan dokumen administrasi tender. Proyek Akhir dan Presentasi Praktik Bulan ke-6 15–20 hari Menyusun strategi digital marketing secara komprehensif dan mempresentasikan hasil pembelajaran serta proyek akhir selama program magang. (Strategi digital marketing lengkap + presentasi)",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-riset-pasar-a2440d2c-7903-4c1e-9a33-b96a0edceb28,Berhasil,1,,8.0,12.5,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
6,Micro Ecosystems 1 Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Micro Ecosystems 1 Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Manajemen Pemasaran/Marketing",5,Sabtu Minggu,1,8,1. melakukan proses pengolahan dan analisa data Nasabah2. menyusun rencana kerja Buat Para Marketing Micro3. Melakukan administrasi operasional Micro Ecosystem Department,,"Brilian Internship Assistant Relationship Bisnis Micro (6 materi) Business Support Praktik Bulan ke-1 15–30 hari Mampu melakukan proses pengolahan dan analisadatadiUnit Kerja, Mampumenyusunrencanakerjauntukmendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari Memahami etika dan cara komunikasi yang efektif, Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank, produkdan jasabank, serta Struktur Organisasi Bank. Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan. Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompeten siterkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/micro-ecosystems-1-department-a23909b5-a249-460d-b5bc-454d0c356b1f,Berhasil,1,,8.0,12.5,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
7,Micro Ecosystems 2 Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Micro Ecosystems 2 Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Minggu Sabtu,1,8,1. Melakukan proses pengolahan dan analisa data di Micro Ecosystems 2 Department2. Melakukan kegiatan administrasi operasional dan bisnis di Micro Ecosystems 2 Department3. Melakukan/Menyiapkan data untuk persentase manajemen4. merekap data Pencaiaran dari Seluruh BRI Cabang,,"Brilian Internship Assistant Relationship Bisnis Micro (6 materi) Business Support Praktik Bulan ke-1 15–30 hari Mampu melakukan proses pengolahan dan analisadatadiUnit Kerja, Mampumenyusunrencanakerjauntukmendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari Memahami etika dan cara komunikasi yang efektif, Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank, produkdan jasabank, serta Struktur Organisasi Bank. Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan. Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompeten siterkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/micro-ecosystems-2-department-a23958d4-bf08-4069-b88c-29fef95262db,Berhasil,1,,8.0,12.5,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
8,Maganghub PT Pegadaian (Persero) Departemen Business Support Kanwil II Pekanbaru,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Maganghub PT Pegadaian (Persero) Departemen Business Support Kanwil II Pekanbaru PT Pegadaian Kantor Wilayah II Pekanbaru Kota Pekanbaru 5 hari/minggu Sarjana,Kota Pekanbaru,"Jl. Tuanku Tambusai No.821, Labuh Baru Bar., Payung Sekaki, Kota Pekanbaru, Riau 28292, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknik Informatika, Desain Komunikasi Visual, Statistika, Manajemen Pemasaran",5,Sabtu Minggu,2,17,"Peserta magang akan membantu pembuatan konten promosi kreatif berupa desain grafis dan editing video untuk mendukung pemasaran. Selain itu, peserta juga bertugas mengolah data operasional menggunakan Excel untuk menyusun dashboard laporan yang rapi, sekaligus belajar memonitor jalannya pekerjaan dan membantu menyelesaikan kendala teknis yang terjadi, serta bertindak sebagai MC atau pembawa acara pada berbagai agenda dan kegiatan unit bisnis",,"Maganghub PT Pegadaian (Persero) Kantor Wilayah II Pekanbaru (6 materi) Orientasi Perusahaan, Budaya Kerja & Proses Bisnis dan Layanan Pegadaian Teori Bulan ke-1 20–22 hari Mengenal profil PT Pegadaian, visi dan misi, struktur organisasi, budaya AKHLAK BUMN, tata tertib perusahaan, keselamatan dan kesehatan kerja (K3), serta memahami tugas dan fungsi unit kerja tempat magang, Mempelajari proses bisnis PT Pegadaian, produk dan layanan (gadai, pembiayaan, tabungan emas, investasi emas, dan layanan digital), serta standar operasional prosedur (SOP) dalam pelayanan kepada nasabah. Administrasi dan Pengelolaan Data 1 Praktik Bulan ke-2 20–22 hari Melakukan pengarsipan dokumen, mengelola data administrasi, menggunakan aplikasi perkantoran (Microsoft Word dan Excel dan aplikasi lainnya), menyusun laporan sederhana, serta menjaga kerahasiaan data perusahaan. Administrasi dan Pengelolaan Data 2 Praktik Bulan ke-3 20–22 hari Melakukan pengarsipan dokumen, mengelola data administrasi, menggunakan aplikasi perkantoran (Microsoft Word dan Excel dan aplikasi lainnya), menyusun laporan sederhana, serta menjaga kerahasiaan data perusahaan. Implementasi Pekerjaan Lanjutan Praktik Bulan ke-4 20–22 hari Terlibat langsung dalam kegiatan sesuai departemen, membantu pelaksanaan administrasi dan pelayanan, melakukan monitoring pekerjaan, serta memahami penyelesaian kendala yang terjadi di lapangan. Pengembangan Kompetensi dan Inovasi Kerja Praktik Bulan ke-5 20–22 hari Menerapkan kemampuan komunikasi, kerja sama tim, pelayanan prima (service excellence), problem solving, serta memberikan usulan atau ide perbaikan terhadap proses kerja yang lebih efektif dan efisien. Evaluasi, Penyusunan Laporan, dan Presentasi Hasil Magang Praktik Bulan ke-6 20–22 hari Menyusun laporan akhir magang, mendokumentasikan hasil kegiatan dan capaian kompetensi, melakukan evaluasi bersama pembimbing, serta mempresentasikan hasil magang kepada pihak perusahaan.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/maganghub-pt-pegadaian-persero-departemen-business-support-kanwil-ii-pekanbaru-a24100a0-fb2d-4916-9178-a27bf5dfbdc4,Berhasil,1,,8.5,11.76,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
9,Pengendali Konten Internet,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Pengendali Konten Internet Kantor Wilayah Kementerian Hukum Riau Kota Pekanbaru 5 hari/minggu Sarjana, Diploma",Kota Pekanbaru,"Jl. Jend. Sudirman No.233, Sumahilang, Pekanbaru Kota, Kota Pekanbaru, Riau 28111, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Ilmu Komunikasi, Desain Komunikasi Visual",5,Sabtu Minggu,2,17,"Melakukan kegiatan yang meliputi koordinasi, penerimaan dan pengumpulan aduan, pengklasifikasian, analisa serta verifikasi data konten internet untuk menyimpulkan dan menyusun pemblokiran konten internet ilegal sesuai prosedur dan ketentuan yang berlaku agar pelaksanaan pekerjaan sesuai dengan program yang telah disusun dan peraturan perundang-undangan.",,"Pengembangan Kompetensi Profesional Administrasi, Informasi, dan Tata Kelola Pemerintahan (6 materi) Orientasi & Adaptasi Teori Bulan ke-1 1–22 hari Peserta mempelajari budaya kerja organisasi, struktur unit kerja, serta memahami peraturan kedisiplinan dan tata naskah dinas yang berlaku di instansi. Fokus utama adalah pada pengenalan lingkungan dan adaptasi sistem kerja internal. Operasional Dasar & Administrasi Praktik Bulan ke-2 1–22 hari Peserta mulai terlibat dalam tugas operasional harian seperti pengelolaan surat-menyurat, penataan arsip fisik dan digital, serta penginputan data administrasi rutin. Fokusnya adalah membangun ketelitian dalam administrasi. Pendalaman Teknis Praktik Bulan ke-3 1–22 hari Peserta menjalankan tugas spesifik sesuai jabatan pemagangan, Fokusnya adalah penerapan ilmu sesuai bidang jabatan masing-masing. Implementasi & Kolaborasi Praktik Bulan ke-4 1–22 hari Peserta dilibatkan secara aktif dalam proyek tim, koordinasi antar unit, pengelolaan konten atau aduan, serta membantu proses monitoring kegiatan di unit kerja. Fokusnya adalah pengembangan kerja sama tim. Evaluasi & Penguatan Praktik Bulan ke-5 1–22 hari Peserta melakukan evaluasi mandiri terhadap sistem kerja yang mereka jalankan, memberikan saran perbaikan, serta membantu penyusunan laporan bulanan unit kerja. Fokusnya adalah efektivitas kerja. Finalisasi & Refleksi Praktik Bulan ke-6 1–22 hari Peserta menyelesaikan seluruh sisa tanggung jawab, menyusun portofolio hasil karya selama 6 bulan, dan melakukan presentasi akhir mengenai kontribusi yang telah diberikan. Fokusnya adalah refleksi dan penutupan masa magang.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengendali-konten-internet-a23f5700-8fc5-4362-9524-8531b7092ec5,Berhasil,1,,8.5,11.76,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
10,Analis Data Sertifikasi,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Analis Data Sertifikasi Balai Standardisasai dan Pelayanan Jasa Industri Pekanbaru Kota Pekanbaru 5 hari/minggu Sarjana,Kota Pekanbaru,"Jl. Hangtuah No.124, Rejosari, Tenayan Raya, Kota Pekanbaru, Riau 28281, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknik Informatika, Teknik Industri",5,Sabtu Minggu,1,9,"Membantu pelaksanaan kegiatan pengelolaan data sertifikasi melalui proses pengumpulan dan verifikasi dokumen, pengolahan serta analisis data sertifikasi, pengelolaan arsip dokumen sertifikasi, penerapan prosedur sistem manajemen mutu, serta penyusunan dokumentasi teknis untuk mendukung layanan sertifikasi di BSPJI Pekanbaru.",,"Kurikulum Program Magang Analis Data Sertifikasi BSPJI Pekanbaru (11 materi) Orientasi Lingkungan Kerja BPSJI Pekanbaru Teori Bulan ke-1 1–1 hari Memahami profil BSPJI Pekanbaru, tugas dan fungsi, budaya kerja, tata kelola organisasi, jenis pelayanan jasa industri serta tata tertib peserta magang. Pemantauan Proses Sertifikasi dan Evaluasi Data Praktik Bulan ke-2 1–12 hari Melakukan pemantauan kelengkapan dan perkembangan proses sertifikasi, pemeriksaan data antar dokumen, identifikasi ketidaksesuaian data, serta evaluasi informasi pendukung kegiatan sertifikasi. Penerapan Sistem Mutu dan Administrasi Sertifikasi Praktik Bulan ke-2 1–10 hari Menerapkan prosedur sistem manajemen mutu dalam pengelolaan data sertifikasi, pengendalian dokumen, pengelolaan rekaman sertifikasi, serta memastikan data dan dokumen tersusun sesuai ketentuan yang berlaku. Pemantauan Proses Sertifikasi dan Evaluasi Data Praktik Bulan ke-3 1–12 hari Melakukan pemantauan kelengkapan dan perkembangan proses sertifikasi, pemeriksaan data antar dokumen, identifikasi ketidaksesuaian data, serta evaluasi informasi pendukung kegiatan sertifikasi. Penerapan Sistem Mutu dan Administrasi Sertifikasi Praktik Bulan ke-3 1–10 hari Menerapkan prosedur sistem manajemen mutu dalam pengelolaan data sertifikasi, pengendalian dokumen, pengelolaan rekaman sertifikasi, serta memastikan data dan dokumen tersusun sesuai ketentuan yang berlaku. Pemantauan Proses Sertifikasi dan Evaluasi Data Praktik Bulan ke-4 1–12 hari Melakukan pemantauan kelengkapan dan perkembangan proses sertifikasi, pemeriksaan data antar dokumen, identifikasi ketidaksesuaian data, serta evaluasi informasi pendukung kegiatan sertifikasi. Penerapan Sistem Mutu dan Administrasi Sertifikasi Praktik Bulan ke-4 1–10 hari Menerapkan prosedur sistem manajemen mutu dalam pengelolaan data sertifikasi, pengendalian dokumen, pengelolaan rekaman sertifikasi, serta memastikan data dan dokumen tersusun sesuai ketentuan yang berlaku. Pemantauan Proses Sertifikasi dan Evaluasi Data Praktik Bulan ke-5 1–12 hari Melakukan pemantauan kelengkapan dan perkembangan proses sertifikasi, pemeriksaan data antar dokumen, identifikasi ketidaksesuaian data, serta evaluasi informasi pendukung kegiatan sertifikasi. Penerapan Sistem Mutu dan Administrasi Sertifikasi Praktik Bulan ke-5 1–10 hari Menerapkan prosedur sistem manajemen mutu dalam pengelolaan data sertifikasi, pengendalian dokumen, pengelolaan rekaman sertifikasi, serta memastikan data dan dokumen tersusun sesuai ketentuan yang berlaku. Penyusunan Laporan Akhir Magang Praktik Bulan ke-6 1–10 hari Menyusun laporan kegiatan magang yang memuat hasil pekerjaan, capaian kompetensi, evaluasi, serta rekomendasi pengembangan layanan sertifikasi di BPSJI Pekanbaru. Pengelolaan Data Sertifikasi dan Evaluasi Kompetensi Praktik Bulan ke-6 1–12 hari Melaksanakan pengelolaan data sertifikasi secara lebih mandiri dengan pendampingan, mulai dari verifikasi data, pengolahan informasi, pengelolaan dokumen, hingga evaluasi hasil pekerjaan dalam mendukung layanan sertifikasi.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-data-sertifikasi-a23f0fdb-615b-40f1-8777-70f0237f3c87,Berhasil,1,,9.0,11.11,Sedang,Kota Pekanbaru,49e68da2-eaa7-401c-b4e4-0feaf679287f,2026-07-25 22:20:42
